Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East Asia	Distance to cluster Europe	Distance to cluster South Asia
GTEX-S95S-0004-SM-5JK3U	-	 Europe	 Europe	 Europe	0.07961	0.08388	0.00274	0.03246
GTEX-SIU7-0002-SM-5JK4G	-	 Europe	 Europe	 Europe	0.07944	0.08408	0.00288	0.03264
GTEX-SIU8-0002-SM-5JK47	 Europe	 Europe	 Europe	 Europe	0.07899	0.08268	0.00157	0.03126
GTEX-SN8G-0002-SM-5JK4B	 Europe	 Europe	 Europe	 Europe	0.07876	0.08318	0.00196	0.03173
GTEX-SNOS-0004-SM-5SOEL	-	-	-	Africa-Europe	0.02841	0.07834	0.04966	0.04594
GTEX-SSA3-0001-SM-5URCI	-	-	-	Africa	0.00950	0.08299	0.06848	0.06111
GTEX-SUCS-0001-SM-5URDQ	-	 Europe	 Europe	 Europe	0.07975	0.08398	0.00287	0.03257
GTEX-T2IS-0002-SM-5SOEK	 Europe	 Europe	 Europe	 Europe	0.07881	0.08268	0.00151	0.03125
GTEX-T2YK-0003-SM-5URCD	-	-	-	Africa	0.00961	0.08277	0.06834	0.06090
GTEX-T5JC-0002-SM-5SOER	 Europe	 Europe	 Europe	 Europe	0.07925	0.08348	0.00231	0.03205
GTEX-T5JW-0002-SM-5URDG	 Europe	 Europe	 Europe	 Europe	0.07773	0.08290	0.00190	0.03140
GTEX-T6MN-0003-SM-5URB7	-	 Europe	 Europe	 Europe	0.07989	0.08468	0.00351	0.03325
GTEX-T6MO-0001-SM-5URCH	-	 Europe	 Europe	 Europe	0.07975	0.08438	0.00321	0.03295
GTEX-T8EM-0001-SM-5SOEA	 Europe	 Europe	 Europe	 Europe	0.07894	0.08358	0.00236	0.03213
GTEX-TKQ2-0002-SM-5URCO	-	 Europe	 Europe	 Europe	0.07957	0.08418	0.00300	0.03275
GTEX-TML8-0004-SM-5SOEP	-	-	-	Africa-Europe	0.02699	0.07531	0.05085	0.04491
GTEX-TMMY-0003-SM-5SOES	-	 Europe	 Europe	 Europe	0.07952	0.08388	0.00272	0.03245
GTEX-TMZS-0002-SM-5URDR	-	 Europe	 Europe	 Europe	0.07940	0.08438	0.00316	0.03293
GTEX-TSE9-0002-SM-5URBA	 Europe	 Europe	 Europe	 Europe	0.07854	0.08208	0.00094	0.03065
GTEX-U3ZG-0002-SM-5SOEN	-	 Europe	 Europe	 Europe	0.07988	0.08428	0.00316	0.03287
GTEX-U3ZH-0003-SM-5URBK	-	 Europe	 Europe	 Europe	0.07662	0.08284	0.00263	0.03130
GTEX-U3ZN-0001-SM-5URBO	 Europe	 Europe	 Europe	 Europe	0.07885	0.08318	0.00197	0.03173
GTEX-U4B1-0001-SM-5URC2	-	 Europe	 Europe	 Europe	0.07966	0.08418	0.00301	0.03275
GTEX-U8XE-0004-SM-5URB8	-	 Europe	 Europe	 Europe	0.07962	0.08408	0.00292	0.03265
GTEX-UJHI-0001-SM-5SOEU	-	-	-	Africa	0.00998	0.08302	0.06805	0.06082
GTEX-UJMC-0002-SM-5SOEI	-	-	-	Africa	0.01600	0.08069	0.06196	0.05549
GTEX-UPIC-0004-SM-5SOEF	 Europe	 Europe	 Europe	 Europe	0.07742	0.08261	0.00176	0.03109
GTEX-UPJH-0002-SM-5SOE9	 Europe	 Europe	 Europe	 Europe	0.07872	0.08348	0.00226	0.03202
GTEX-UPK5-0002-SM-5SOE3	-	 Europe	 Europe	 Europe	0.07989	0.08448	0.00333	0.03306
GTEX-UTHO-0003-SM-5SOE4	-	 Europe	 Europe	 Europe	0.07994	0.08498	0.00379	0.03355
GTEX-V955-0001-SM-5SOEE	-	 Europe	 Europe	 Europe	0.07979	0.08368	0.00264	0.03228
GTEX-VJYA-0003-SM-5SOED	-	 Africa	 Africa	 Africa	0.00458	0.08565	0.07373	0.06598
GTEX-VUSH-0002-SM-5SOEH	-	 Africa	 Africa	 Africa	0.00484	0.08519	0.07332	0.06548
GTEX-W5WG-0003-SM-5URC3	-	 Europe	 Europe	 Europe	0.07953	0.08408	0.00290	0.03265
GTEX-W5X1-0002-SM-5URBS	 Africa	 Africa	 Africa	 Africa	0.00201	0.08563	0.07597	0.06752
GTEX-WCDI-0001-SM-5SOE7	-	-	 Africa	 Africa	0.00562	0.08594	0.07297	0.06559
GTEX-WFG7-0002-SM-5SOEQ	 Europe	 Europe	 Europe	 Europe	0.07778	0.08219	0.00109	0.03071
GTEX-WFJO-0003-SM-5URBP	 Europe	 Europe	 Europe	 Europe	0.07921	0.08338	0.00221	0.03195
GTEX-WFON-0003-SM-5URD4	-	 Europe	 Europe	 Europe	0.07949	0.08438	0.00317	0.03294
GTEX-WHPG-0002-SM-5URBH	-	-	-	South Asia	0.07116	0.06795	0.01349	0.01640
GTEX-WHSB-0004-SM-5URDE	 Europe	 Europe	 Europe	 Europe	0.07872	0.08328	0.00206	0.03182
